meal_description,carb,fat,energy,protein,country,serving_type
"For breakfast, I ate a plain bun weighing 126 grams and sprinkled on 27 grams of raw sugar.",90.0,3.78,448.2,10.08,,metric
"For lunch, I had 171 grams of boiled fresh groundnuts in their shells and 230 grams of boiled orange sweet potato without skin.",60.0,42.27,682.89,25.74,,metric
"I’ve got 9 grams of boiled kasepa fish, 34 grams of raw maize flour, 3 grams of onion, 9 grams of tomato, and 48 grams of fritters for breakfast.",40.53,8.05,279.92,7.11,,metric
"I had a breakfast consisting of 51g of raw white maize flour, 5g of boiled onion, and 19g of boiled tomato. I also drank 193g of fresh whole milk, ate a 71g orange, and had 133g of boiled orange sweet potato along with 265g of boiled yellow sweet potato.",128.06,8.88,645.15,16.53,,metric
"For dinner, I had 105g of raw maize flour along with a boiled large onion (1g), 5g of boiled pumpkin leaves, 5g of boiled ripe tomato, and 4g of boiled medium-fat pork.",81.23,4.99,397.49,8.9,,metric
"For a snack, I had 48g of boiled white navy beans, 16g of boiled kidney beans, 16g of boiled groundnut powder, 115g of boiled white maize flour, 13g of boiled large onion, 26g of boiled sweet potato leaves, and 45g of boiled ripe tomato.",49.27,9.54,324.54,13.88,,metric
"For breakfast, I've got 30g of boiled cowpeas, 68g of maize flour, and 5g of onion. I'm also having 19g of tomato, 82g of banana, and 41g of roasted groundnuts.",85.04,23.26,593.87,18.95,,metric
"I enjoyed dinner with 19g of boiled okra leaves, 5g of boiled onion, 86g of sorghum flour, 17g of boiled tomato, along with 5g of roasted caterpillar and 83g of boiled goat and lamb offals.",66.69,8.74,445.42,33.35,,metric
"For lunch, I have 17g of fresh green cabbage, 116g of raw maize flour, 5g and 3g of boiled onion, 41g of boiled tomato, and 21g of boiled chicken wings.",91.49,6.31,480.86,16.26,,metric
"For a snack, I had 55 grams of boiled cranberry beans, 118 grams of raw white maize flour breakfast meal, 10 grams of boiled large onion, 34 grams of boiled ripe tomato, and 453 grams of boiled groundnuts.",157.55,117.34,1949.61,72.25,,metric
"So, my lunch includes 72g of maize flour, 17g of okra leaves, 5g of onion, 16g of tomato, and 85g of mango.",70.48,3.2,324.29,6.48,,metric
"I’ll eat 37 grams of fresh green cabbage, along with 149 grams of raw maize flour, 10 grams of fresh onion, and 34 grams of fresh tomato for lunch.",118.98,7.12,563.22,11.18,,metric
"I ate 55 grams of boiled pinto beans for lunch, mixed with 122 grams of white maize flour, 9 grams of onion, 34 grams of tomato, and a ripe banana at 46 grams.",121.54,5.41,574.61,14.28,,metric
